INICIJALNO
GENERATION: 1
NUM:          X            Y            Z         FITNESS
   1            0     1.581854     5.68203           0
   2            0     1.590667    5.680837           0
   3            0      1.56411    5.679097           0
   4            0     1.514477    5.632633           0
   5            0     1.657245    5.616397           0
   6            0     1.669339     5.59452           0
   7            0     1.670105    5.593034           0
   8            0     1.676885    5.579348           0
   9            0     1.482145     5.57195           0
  10            0     1.680526    5.571615           0
  11            0      1.69054    5.548973           0
  12            0     1.692622    5.544017           0
  13            0     1.446157     5.47652           0
  14            0      1.44466    5.471923           0
  15            0     1.735843    5.422385           0
  16            0     1.763708     5.32604           0
  17            0     1.793301    5.209622           0
  18            0     1.812908    5.125099           0
  19            0     1.335736    5.011284           0
  20            0     1.320981    4.931191           0
  21            0     1.296384     4.78942           0
  22            0     1.887249    4.758602           0
  23            0     1.888399    4.752434           0
  24            0      1.89837    4.698404           0
  25            0     1.269113    4.621085           0
  26            0     1.952196    4.391749           0
  27            0     1.220035    4.292603           0
  28            0     1.187743    4.061825           0
  29            0      2.03916    3.859362           0
  30            0     2.043233    3.833774           0
  31            0     1.154051    3.811787           0
  32            0     2.051359    3.782633           0
  33            0     1.145875     3.75001           0
  34            0     1.136591    3.679446           0
  35            0     2.098578    3.484201           0
  36            0     2.135362    3.252326           0
  37            0      1.07337    3.192015           0
  38            0     2.203146    2.833538           0
  39            0     2.218555    2.740772           0
  40            0     1.007616    2.687433           0
  41            0     0.999564    2.626832           0
  42            0     0.999384    2.625477           0
  43            0     0.994028    2.585385           0
  44            0     0.983363    2.506104           0
  45            0     0.973404    2.432786           0
  46            0     0.969944    2.407494           0
  47            0     0.969847    2.406787           0
  48            0     0.948912    2.255869           0
  49            0     2.305631    2.240661           0
  50            0     0.933679    2.148568           0
  51            0      0.92028    2.056121           0
  52            0     0.917164    2.034891           0
  53            0     0.901402    1.929207           0
  54            0     0.897024    1.900368           0
  55            0     0.891683    1.865496           0
  56            0     2.380786    1.849542           0
  57            0     0.880163     1.79148           0
  58            0     2.416291    1.679728           0
  59            0     2.420794     1.65891           0
  60            0     0.845642    1.580164           0
  61            0     0.831133     1.49632           0
  62            0     0.826866    1.472245           0
  63            0     2.463751    1.468554           0
  64            0     0.825939    1.467051           0
  65            0     0.812403    1.392674           0
  66            0     0.796494    1.308835           0
  67            0     0.795954     1.30606           0
  68            0     0.788575    1.268575           0
  69            0     0.783845    1.244995           0
  70            0     0.779301    1.222683           0
  71            0     0.772757    1.191131           0
  72            0      0.75504    1.109176           0
  73            0            0    1.103638           0
  74            0            0    1.103638           0
  75            0            0    1.103638           0
  76            0            0    1.103638           0
  77            0            0    1.103638           0
  78            0            0    1.103638           0
  79            0            0    1.103638           0
  80            0            0    1.103638           0
  81            0            0    1.103638           0
  82            0            0    1.103638           0
  83            0            0    1.103638           0
  84            0            0    1.103638           0
  85            0            0    1.103638           0
  86            0            0    1.103638           0
  87            0            0    1.103638           0
  88            0            0    1.103638           0
  89            0            0    1.103638           0
  90            0            0    1.103638           0
  91            0            0    1.103638           0
  92            0            0    1.103638           0
  93            0            0    1.103638           0
  94            0            0    1.103638           0
  95            0            0    1.103638           0
  96            0            0    1.103638           0
  97            0            0    1.103638           0
  98            0            0    1.103638           0
  99            0            0    1.103638           0
 100            0            0    1.103638           0
 101            0            0    1.103638           0
 102            0            0    1.103638           0
 103            0            0    1.103638           0
 104            0            0    1.103638           0
 105            0            0    1.103638           0
 106            0            0    1.103638           0
 107            0            0    1.103638           0
 108            0            0    1.103638           0
 109            0            0    1.103638           0
 110            0            0    1.103638           0
 111            0            0    1.103638           0
 112            0            0    1.103638           0
 113            0            0    1.103638           0
 114            0            0    1.103638           0
 115            0            0    1.103638           0
 116            0            0    1.103638           0
 117            0            0    1.103638           0
 118            0            0    1.103638           0
 119            0            0    1.103638           0
 120            0            0    1.103638           0
 121            0     0.010799    1.079931           0
 122            0     0.747202    1.074554           0
 123            0     0.746224    1.070301           0
 124            0     2.567754     1.07006           0
 125            0     2.573168    1.051706           0
 126            0     0.029843    1.038769           0
 127            0     0.038309    1.020739           0
 128            0     0.048398    0.999475           0
 129            0     0.725309    0.983197           0
 130            0     0.060113    0.975094           0
 131            0     0.072809    0.949052           0
 132            0     0.072991    0.948681           0
 133            0     0.087284    0.919858           0
 134            0     0.090463     0.91352           0
 135            0     0.097663     0.89926           0
 136            0      0.70327    0.899249           0
 137            0     0.702861    0.897764           0
 138            0     0.100203    0.894263           0
 139            0     0.701419    0.892563           0
 140            0     0.110608    0.873972           0
 141            0     0.114671    0.866129           0
 142            0      0.12876    0.839293           0
 143            0     0.685749     0.83825           0
 144            0     0.129327    0.838224           0
 145            0     0.140011    0.818272           0
 146            0     0.677825    0.812329           0
 147            0      0.14885    0.802022           0
 148            0     0.668115    0.781972           0
 149            0     0.165084    0.772806           0
 150            0     0.664944    0.772394           0
 151            0     0.663439    0.767904           0
 152            0     0.655907    0.745994           0
 153            0      2.67659    0.744158           0
 154            0     0.182187    0.742954           0
 155            0     0.653944    0.740435           0
 156            0     0.651824    0.734501           0
 157            0     0.188893    0.731519           0
 158            0      0.65046    0.730722           0
 159            0     0.198722     0.71505           0
 160            0     0.634647    0.689093           0
 161            0     0.234967    0.657514           0
 162            0      0.23599    0.655968           0
 163            0     0.619105     0.65205           0
 164            0     0.241056    0.648377           0
 165            0     0.245873    0.641267           0
 166            0     0.249008    0.636693           0
 167            0     0.609556    0.631166           0
 168            0     0.608695    0.629352           0
 169            0     0.600401    0.612463           0
 170            0     0.274243    0.601578           0
 171            0     0.594042    0.600225           0
 172            0     0.280928    0.592807           0
 173            0     0.287135    0.584874           0
 174            0     0.584737     0.58341           0
 175            0     0.291271    0.579703           0
 176            0     0.575931    0.568682           0
 177            0     0.313738    0.553318           0
 178            0     2.761604    0.547997           0
 179            0     0.560444    0.545512           0
 180            0     0.321055    0.545377           0
 181            0     0.339762     0.52664           0
 182            0     0.344231    0.522512           0
 183            0     2.774517    0.522231           0
 184            0     0.354136    0.513865           0
 185            0      2.78281    0.506205           0
 186            0     0.524011    0.504212           0
 187            0     0.384352    0.492045           0
 188            0      0.39293    0.487187           0
 189            0     0.395692    0.485757           0
 190            0     0.419859    0.476131           0
 191            0     0.464527    0.473283           0
 192            0      0.43304    0.473184           0
 193            0     0.463405    0.473097           0
 194            0     0.439217    0.472392           0
 195            0     0.439933    0.472325           0
 196            0     0.440514    0.472275           0
 197            0     0.445017    0.472001           0
 198            0     2.910924    0.305681           0
 199            0     2.934371    0.277439           0
 200            0     2.944516    0.265925           0


GENERATION: 2
NUM:          X            Y            Z         FITNESS
   1            0     1.581854     5.68203           0
   2            0     1.590667    5.680837   -0.001193
   3            0     1.568359    5.680451   -0.001579
   4            0      1.56411    5.679097   -0.002933
   5            0     1.563477     5.67886    -0.00317
   6            0     1.558594    5.676724   -0.005306
   7            0     1.541016    5.664515   -0.017515
   8            0     1.632812    5.651222   -0.030808
   9            0     1.633789    5.650075   -0.031955
  10            0     1.514477    5.632633   -0.049397
  11            0     1.513672    5.631413   -0.050617
  12            0     1.657245    5.616397   -0.065633
  13            0     1.669339     5.59452    -0.08751
  14            0     1.670105    5.593034   -0.088996
  15            0     1.676885    5.579348   -0.102682
  16            0     1.482145     5.57195    -0.11008
  17            0     1.680526    5.571615   -0.110415
  18            0      1.69054    5.548973   -0.133057
  19            0     1.692622    5.544017   -0.138013
  20            0     1.694336    5.539872   -0.142158
  21            0     1.695312    5.537484   -0.144546
